BEB,HG03006,2,14929,13817,48059,61468,61046,88648
BEB,HG03007,2,14763,13737,48206,61321,61163,88814
BEB,HG03009,2,15404,14055,47145,62382,61555,88173
BEB,HG03012,2,14929,14000,48103,61424,61164,88648
BEB,HG03585,2,14507,13929,48340,61187,61136,89070
BEB,HG03589,2,15150,13856,48144,61383,60704,88427
BEB,HG03593,2,14608,14015,48245,61282,60884,88969
BEB,HG03594,2,15151,13908,47603,61924,60827,88426
BEB,HG03595,2,14687,14266,47690,61837,61245,88890
BEB,HG03598,2,14579,13832,48478,61049,60802,88998
BEB,HG03600,2,14920,14308,47776,61751,61659,88657
BEB,HG03603,2,14734,14049,48185,61342,61305,88843
BEB,HG03604,2,15026,14385,47636,61891,61699,88551
BEB,HG03607,2,14909,14187,48295,61232,61342,88668
BEB,HG03611,2,14883,13763,48523,61004,60364,88694
BEB,HG03615,2,14540,13915,48807,60720,60743,89037
BEB,HG03616,2,14928,13663,47866,61661,60954,88649
BEB,HG03793,2,14719,13754,48625,60902,60160,88858
BEB,HG03796,2,15143,13784,48236,61291,60628,88434
BEB,HG03800,2,14753,13721,48062,61465,60993,88824
BEB,HG03802,2,14675,14003,48000,61527,61589,88902
BEB,HG03803,2,15160,13803,47845,61682,60987,88417
BEB,HG03805,2,15020,14045,48341,61186,60499,88557
BEB,HG03808,2,15162,13747,47524,62003,61086,88415
BEB,HG03809,2,14911,13845,47919,61608,60719,88666
BEB,HG03812,2,15410,13867,47417,62110,60647,88167
BEB,HG03814,2,14391,13781,48678,60849,61143,89186
BEB,HG03815,2,14825,13851,48359,61168,61249,88752
BEB,HG03817,2,14733,13660,48114,61413,60628,88844
BEB,HG03821,2,14898,14054,48350,61177,60740,88679
BEB,HG03823,2,15084,13973,48015,61512,60615,88493
BEB,HG03824,2,14884,13972,47999,61528,61051,88693
BEB,HG03826,2,14821,13830,48338,61189,60562,88756
BEB,HG03829,2,14744,13723,48300,61227,61230,88833
BEB,HG03830,2,15400,13775,47740,61787,60180,88177
BEB,HG03832,2,15184,14093,47707,61820,61197,88393
BEB,HG03833,2,15174,14064,47714,61813,60495,88403
BEB,HG03902,2,15298,13894,47523,62004,60488,88279
BEB,HG03905,2,14770,13984,47744,61783,61135,88807
BEB,HG03907,2,14679,13763,48172,61355,60975,88898
BEB,HG03908,2,14562,13676,48171,61356,60656,89015
BEB,HG03910,2,14365,13648,49150,60377,60563,89212
BEB,HG03911,2,14616,13929,48501,61026,60980,88961
BEB,HG03913,2,14678,13650,48604,60923,60286,88899
BEB,HG03914,2,14555,13539,48174,61353,60369,89022
BEB,HG03916,2,14722,13947,48579,60948,60319,88855
BEB,HG03917,2,15029,14036,48013,61514,60899,88548
BEB,HG03919,2,15148,13774,47870,61657,60817,88429
BEB,HG03920,2,14789,14080,48299,61228,60890,88788
BEB,HG03922,2,14506,13786,48678,60849,60747,89071
BEB,HG03925,2,14553,14216,47767,61760,61725,89024
BEB,HG03926,2,14765,13712,48051,61476,60883,88812
BEB,HG03928,2,14827,13665,48226,61301,60385,88750
BEB,HG03931,2,14718,13644,48621,60906,60359,88859
BEB,HG03934,2,14970,13865,47791,61736,60782,88607
BEB,HG03937,2,15032,13866,47880,61647,60967,88545
BEB,HG03940,2,14731,13761,48450,61077,60579,88846
BEB,HG03941,2,14978,14182,48406,61121,60904,88599
BEB,HG04131,2,14615,13881,48557,60970,60986,88962
BEB,HG04134,2,14934,13768,48265,61262,60520,88643
BEB,HG04140,2,14487,13744,48369,61158,60594,89090
BEB,HG04141,2,14904,13625,48165,61362,60271,88673
BEB,HG04144,2,15015,13652,48604,60923,60618,88562
BEB,HG04146,2,15346,13715,47796,61731,60547,88231
BEB,HG04152,2,14476,14001,48324,61203,61202,89101
BEB,HG04153,2,14819,13842,47987,61540,61286,88758
BEB,HG04155,2,14680,14471,47505,62022,62557,88897
BEB,HG04156,2,14939,13993,47802,61725,61361,88638
BEB,HG04158,2,14663,13951,48141,61386,60503,88914
BEB,HG04159,2,14806,13662,48285,61242,60275,88771
BEB,HG04161,2,14508,13867,48840,60687,60717,89069
BEB,HG04162,2,15215,13681,47761,61766,60789,88362
BEB,HG04164,2,15122,14158,47940,61587,61371,88455
BEB,HG04171,2,14927,13980,47795,61732,61336,88650
BEB,HG04173,2,14827,13841,48353,61174,60697,88750
BEB,HG04176,2,15023,13593,48499,61028,60397,88554
BEB,HG04177,2,14675,13834,48576,60951,61036,88902
BEB,HG04180,2,14896,13903,48236,61291,61004,88681
BEB,HG04182,2,14971,14132,47843,61684,61463,88606
BEB,HG04183,2,14743,14125,48062,61465,61014,88834
BEB,HG04185,2,14926,13547,48706,60821,60111,88651
BEB,HG04186,2,14329,13857,48027,61500,61250,89248
BEB,HG04188,2,14898,13915,48120,61407,61215,88679
BEB,HG04189,2,14965,13921,48013,61514,61400,88612
BEB,HG04194,2,15164,13846,48162,61365,60556,88413
BEB,HG04195,2,14766,13897,47998,61529,61080,88811
STU,HG03642,2,14699,13794,48314,61213,61119,88878
STU,HG03643,2,14630,13777,48401,61126,61140,88947
STU,HG03644,2,14356,13798,48409,61118,60932,89221
STU,HG03645,2,14506,13763,48567,60960,60558,89071
STU,HG03646,2,14864,13542,48852,60675,60140,88713
STU,HG03672,2,14713,13749,48128,61399,60747,88864
STU,HG03673,2,14373,13796,49007,60520,60748,89204
STU,HG03679,2,14860,13449,48670,60857,60813,88717
STU,HG03680,2,14564,13942,48742,60785,60932,89013
STU,HG03681,2,14750,14126,47587,61940,62271,88827
STU,HG03684,2,14720,14227,48122,61405,61540,88857
STU,HG03685,2,14463,14131,48226,61301,61687,89114
STU,HG03686,2,14744,13750,48268,61259,60747,88833
STU,HG03687,2,14843,14031,48416,61111,61522,88734
STU,HG03689,2,14970,14078,47910,61617,61352,88607
STU,HG03690,2,14421,14222,48143,61384,61345,89156
STU,HG03691,2,14631,13728,49166,60361,59444,88946
STU,HG03692,2,15070,14226,47560,61967,62011,88507
STU,HG03693,2,14791,13740,48207,61320,60899,88786
